"","cve_ent","tasa_covid","inclusion_fin_2019","popden2020","porcentaje_pob_pobreza_ext","porcentaje_pob_pobreza","porcentaje_pob_acceso_ss","pob_6.14_no_edu","entidad","cant_hosp"
"385",12019,11.2612612612613,0,17.358,0.5778,0.9419,0.9157,11.54,"Guerrero",7
"386",12020,2.88753068001347,0,55.736,0.6169,0.9534,0.9091,10.9,"Guerrero",8
"387",12021,23.4381928519846,0.72,45.577,0.2726,0.6554,0.7463,4.32,"Guerrero",62
"388",12022,43.0607800435557,0,18.046,0.2568,0.6361,0.7869,10.49,"Guerrero",31
"389",12023,38.3251549124252,0.51,31.066,0.1636,0.626,0.8251,6.93,"Guerrero",38
"390",12024,6.40450877417702,0,40.01,0.3045,0.822,0.8635,4.97,"Guerrero",9
"391",12025,9.65658760335566,0,41.091,0.3267,0.7621,0.8135,3.95,"Guerrero",9
"392",12026,6.70316165791532,0,16.551,0.332,0.7905,0.7942,6.41,"Guerrero",5
"393",12027,27.4725274725275,0.62,33.607,0.178,0.5635,0.8363,11.93,"Guerrero",16
"394",12028,23.1059497820689,0.55,222.202,0.3145,0.7524,0.8373,7.29,"Guerrero",112
"395",12029,169.028945239686,1.56,121.174,0.2083,0.5551,0.6933,4.18,"Guerrero",648
"396",12030,21.8330468713708,1.32,59.667,0.1553,0.5427,0.7837,5.14,"Guerrero",27
"397",12031,3.36927223719677,0,20.899,0.3087,0.839,0.8505,5.46,"Guerrero",4
"398",12032,19.0274841437632,0,23.092,0.5774,0.9457,0.9234,7,"Guerrero",28
"399",12033,44.4077903952293,0,40.435,0.2884,0.7391,0.8548,5.98,"Guerrero",30
"400",12034,34.8873268554889,1.05,39.693,0.2122,0.6421,0.793,8,"Guerrero",62
"401",12035,78.9169159168084,1.64,271.862,0.2115,0.5447,0.6508,5.17,"Guerrero",363
"402",12036,58.5500258308938,1.27,44.016,0.338,0.7606,0.8483,4.62,"Guerrero",3
"403",12037,9.30088358394047,0,19.755,0.2303,0.7361,0.8271,4.6,"Guerrero",14
"404",12038,125.539007309092,2.01,65.574,0.1121,0.4586,0.6007,5.49,"Guerrero",246
"405",12039,96.3406106751612,2.15,39.983,0.3151,0.7438,0.8056,5,"Guerrero",41
"406",12040,25.3192836132107,0.55,30.935,0.3599,0.8794,0.8473,6.06,"Guerrero",25
"407",12041,13.1364055953987,0,60.213,0.5002,0.885,0.9039,2.57,"Guerrero",3
"408",12042,17.0931316689112,0,37.241,0.4001,0.8555,0.8985,7.73,"Guerrero",13
"409",12043,4.71327572663001,0,13.793,0.6776,0.9772,0.9203,9.04,"Guerrero",6
"410",12044,33.3434374052743,0,21.475,0.2554,0.6906,0.794,4.41,"Guerrero",18
"411",12045,13.6508418019111,0.54,27.669,0.4595,0.8868,0.8907,9.68,"Guerrero",32
"412",12046,67.1409960917928,1.52,111.615,0.3112,0.6819,0.8147,4.57,"Guerrero",105
"413",12047,4.25592282593276,0,13.872,0.3748,0.8958,0.8985,8.77,"Guerrero",4
"414",12048,50.8933882658794,1.21,21.52,0.1901,0.5497,0.7064,10.41,"Guerrero",65
"415",12049,9.79653353428787,0,205.362,0.1498,0.6214,0.8467,7.63,"Guerrero",17
"416",12050,91.9889716302919,2.19,181.262,0.1539,0.5267,0.7745,6.34,"Guerrero",149
"417",12051,18.1174116438171,0.4,38.876,0.5638,0.9417,0.9043,5.93,"Guerrero",29
"418",12052,17.5084772057357,0.33,65.687,0.478,0.8603,0.8902,5.51,"Guerrero",29
"419",12053,19.0723372461118,0.82,52.174,0.2051,0.6048,0.7836,4.06,"Guerrero",63
"420",12054,24.3911060836367,0,9.116,0.4173,0.8429,0.8924,10.43,"Guerrero",20
"421",12055,47.618624568012,1.25,304.282,0.2679,0.7498,0.7512,5.01,"Guerrero",177
"422",12056,22.9025276826424,0.31,59.291,0.391,0.8268,0.8386,3.22,"Guerrero",25
"423",12057,28.6678412518291,1.05,25.706,0.07,0.3781,0.8168,6.12,"Guerrero",92
"424",12058,20.2966696547875,1.26,48.219,0.1732,0.6392,0.7786,5.19,"Guerrero",66
"425",12059,32.8127848332017,0,31.307,0.3087,0.7507,0.8181,7.95,"Guerrero",19
"426",12060,6.71591672263264,0,50.323,0.3095,0.7927,0.8767,5.9,"Guerrero",7
"427",12061,159.625890869849,0.65,148.866,0.2253,0.5786,0.6932,4.2,"Guerrero",75
"428",12062,7.01870277858057,0,50.557,0.4318,0.8311,0.8842,14.81,"Guerrero",8
